PostNumber,SymptomName,PostLink
1,"['Neuropathy', 'Ache', 'Muscular fasciculation', 'Feeling strange', 'Neurologic Symptoms', 'Fatigue', 'Has tingling sensation', 'Myalgia', 'Weakness', 'Tremor', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/i-ve-had-loads-of-neurological-symptoms-since-covid-anyone-had-the-same--756542
2,"['Ache', 'Diarrhea', 'Headache', 'Weakness', 'Syncope', 'Cold sweat', 'Pain', 'nan']",https://patient.info//forums/discuss/covid-symptoms-753523
3,"['Communicable Diseases', 'Fish-Eye Disease', 'Coronavirus Infections', 'Excessive tearing', 'Anorexia', 'Gastroparesis', 'asthma with copd', 'Other viral diseases NOS', 'Asthma', 'Secondary Infections', 'Recurrent disease', 'Gray Platelet Syndrome', 'Oral Ulcer', 'BESTROPHINOPATHY, AUTOSOMAL RECESSIVE', 'Gastroesophageal reflux disease', 'Pneumonia', 'Pharyngitis', 'Common Cold', 'Influenza', 'Narcolepsy', 'Bacterial Infections', 'Xerostomia', 'Neuropathy', 'Tennis Elbow', 'Deglutition Disorders', 'Malnutrition', 'Disease', 'Seizures', 'Diarrhea', 'Feeling nervous', 'Fatigue', 'Burning sensation', 'Headache', 'Flushing', 'Pain', 'Muscle Cramp', 'Breathing abnormally deep', 'Exhaustion', 'Numbness', 'Neck Pain', 'Neurologic Symptoms', 'Feeling Cold', 'Nausea', 'Has tingling sensation', 'Coughing', 'Sharp pain', 'Nightmares', 'Ache', 'Chest Pain', 'Tired', 'BODY ACHE', 'Overweight', 'Myalgia', 'Syncope', 'Back Pain', 'Nervousness', 'Illness (finding)', 'Difficulty sleeping', 'Hunger', 'Dizziness', 'Sore Throat', 'Dry cough', 'Weakness', 'Lethargy', 'Hot flushes', 'Dyspnea', 'Chills', 'Sore to touch', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/covid-for-4-weeks-still-bed-ridden-anyone-else-had-prolonged-severe-illness-without-hospitalization-734070
4,"['Coughing', 'Earache', 'Pharyngeal dryness', 'nan', 'nan']",https://patient.info//forums/discuss/painful-mouth-throat-post-covid-756606
5,"['Deep Vein Thrombosis', 'Pain in calf', 'Sensation of warmth', 'Pain', 'nan', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/possible-symptoms-of-dvt-or-just-a-bad-coincidence-756696
6,"['Urinary tract infection', 'Hay fever', 'Influenza', 'Chronic Obstructive Airway Disease', 'Pityriasis Rosea', 'Septicemia', 'Disease', 'BODY ACHE', 'Tired', 'Exanthema', 'Upset stomach', 'Throat symptom', 'Headache', 'Pain', 'Ageusia', 'Stomach ache', 'Illness (finding)', 'Nausea', 'Hunger', 'Coughing', 'Sharp pain', 'Dyspnea', 'nan', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/tested-positive-on-28th-dec-20-my-symptoms-etc-753995
7,"['Anorexia', 'Ear symptom', 'Fatigue', 'Burning sensation', 'Myalgia', 'Headache', 'Pain', 'Earache', 'Sleeplessness']",https://patient.info//forums/discuss/post-covid-symptoms-756689
8,"['Ageusia', 'Ache', 'Feeling Sick', 'Nausea', 'Headache', 'Coughing', 'Dyspnea']",https://patient.info//forums/discuss/day-10-nausea-and-headache-756678
9,"['Ache', 'Tired', 'Fatigue', 'Pain', 'Arm Pain', 'Sore to touch', 'Chills', 'nan']",https://patient.info//forums/discuss/moderna-2-doses-my-reactions-756664
10,"['Van der Woude syndrome', 'Common Cold', 'Dehydration', 'Fibromyalgia', 'Ache', 'Tired', 'Fatigue', 'Cough with fever', 'Myalgia', 'Headache', 'Weakness', 'Earache', 'spells (neurological symptom)', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/no-appetite-and-sleeping-all-day-so-so-tired-754115
11,"['Myopathy', 'Coronavirus Infections', 'Muscle Weakness', 'nan', 'nan']",https://patient.info//forums/discuss/cholesterol-on-covid-19-756645
12,"['nan', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/i-wonder-whether-i-am-considered-vaccine-compromised-biontec-moderna--756545
13,"['Communicable Diseases', 'Fatigue', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/oxygen-requirement-has-gone-up-750438
14,"['Ache', 'Feeling Sick', 'Coughing', 'nan']",https://patient.info//forums/discuss/loss-of-smell-and-taste-5-days-after-nasal-congestion-and-a-very-bad-throat--756254
15,"['Disease', 'Seizures', 'Dizziness']",https://patient.info//forums/discuss/permanent-dizzyness-756364
16,"['Ageusia', 'Coughing', 'Nose symptoms', 'nan']",https://patient.info//forums/discuss/loss-of-taste-and-smell-due-to-covid-19-756317
17,"['Chronic Fatigue Syndrome', 'Allergic disposition', 'Sjogren-Larsson Syndrome', 'Influenza', 'Burning Mouth Syndrome', 'Asthma', 'Urticaria', 'Anaphylaxis (non medication)', 'Pruritus', 'Burning mouth (sensation)', 'Lip swelling', 'Dyspnea', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/is-covid-vaccine-safe-for-allergy-sufferers--755730
18,"['Renal carnitine transport defect', 'Common Cold', 'Cyclic neutropenia', 'Seizures', 'side pain', 'Malaise', 'Fatigue', 'Headache', 'Blood in stool', 'Rhinorrhea', 'Ageusia', 'Constipation', 'Nausea', 'Hunger', 'Abdominal bloating', 'Congestion of throat', 'Weakness', 'Coughing', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/covid-positive-with-digestive-system-problems-750183
19,"['Encephalitis', 'Rhinorrhea', 'Headache', 'Coughing']",https://patient.info//forums/discuss/intense-headaches-during-covid-recovery-756195
20,"['Pharyngitis', 'Common Cold', 'Conjunctivitis', 'Acute contagious conjunctivitis', 'Coronavirus Infections', 'Chest Pain', 'BODY ACHE', 'Fatigue', 'Headache', 'Pain', 'Exhaustion', 'Rhinorrhea', 'Arthralgia', 'Nasal congestion (finding)', 'Watery eyes', 'Chest tightness', 'Nausea', 'Sore Throat', 'Weakness', 'Dry cough', 'Coughing', 'Cold sweat', 'Night sweats', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/how-did-your-symptoms-start--753618
21,"['Breathing abnormally deep', 'Dyspnea']",https://patient.info//forums/discuss/how-does-shortness-of-breath-actually-feel-like--756005
22,"['Arthritis', 'Fatigue', 'Myalgia', 'nan']",https://patient.info//forums/discuss/swollen-cracked-tongue-755990
23,"['Coronavirus Infections', 'Chest Pain', 'Coughing', 'Pain', 'Mastodynia']",https://patient.info//forums/discuss/hurts-to-breathe-in-755785
24,"['Communicable Diseases', 'Headache', 'Coughing', 'nan']",https://patient.info//forums/discuss/high-fibrinogen-and-ferritin-levels-with-covid-755814
25,"['Nervousness', 'Clouded consciousness', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/vaccination-centres-unsafe--755424
26,"['Influenza', 'IMMUNODEFICIENCY, COMMON VARIABLE, 10', 'Ache', 'Signs and Symptoms', 'Abdominal Pain', 'Feeling Sick', 'Upset stomach', 'Fatigue', 'Pain', 'Muscle Cramp', 'Mastodynia', 'Exhaustion', 'Feeling of loss of feeling', 'Ageusia', 'Stomach ache', 'Illness (finding)', 'Constipation', 'Chest tightness', 'Nausea', 'Dizziness', 'Has tingling sensation', 'Coughing', 'Stomach cramps (finding)', 'Fatigue - symptom', 'Sore to touch', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/lingering-symptoms-after-3-weeks-stomach-pains-nausea-753889
27,"['flu symptoms', 'Tension Headache', 'Common Cold', 'Staring', 'cold symptoms', 'Influenza', 'Dysosmia', 'Anosmia', 'Feeling Sick', 'taste sour', 'Headache', 'Syncope', 'Dyspnea', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/post-covid-odd-smells-and-tastes-753797
28,"['Communicable Diseases', 'Pharyngitis', 'Nasal congestion (finding)', 'Sore Throat', 'Headache', 'Coughing', 'Breathing abnormally deep', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/elevated-heart-rate-with-possible-covid-dangerous--755416
29,"['Communicable Diseases', 'Infection of kidney', 'Ache', 'Dizziness', 'Headache', 'Syncope', 'Back Pain', 'Pain', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/kidney-infection-755255
30,"['Communicable Diseases', 'BODY ACHE', 'Exanthema', 'Dizziness', 'Coughing', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/mom-positive-with-covid-brain-fog-memory-issues-750695
31,"['BODY ACHE', 'out (of) breath', 'Dizziness', 'Weakness', 'Headache', 'nan']",https://patient.info//forums/discuss/dizziness-and-body-aches-help--754367
32,"['Urticaria', 'BODY ACHE', 'Sore Throat', 'Dizziness', 'Mastodynia', 'nan', 'nan']",https://patient.info//forums/discuss/10-months-after-having-covid-and-still-ill-752301
33,"['Pharyngitis', 'Asthenopia', 'Sore eye', 'Tired', 'Pain', 'Tremor', 'Chest pressure', 'Arthralgia', 'Anosmia', 'Sore Throat', 'Pruritus', 'Throbbing Headache', 'Coughing', 'Dyspnea', 'Sore to touch', 'nan', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/tested-negative-but-post-test-symptoms-got-worse-755304
34,"['Coronavirus Infections', 'Lower respiratory tract infection', 'Rhinorrhea', 'Ache', 'Burning sensation in eye', 'Watery eyes', 'Fatigue', 'Pruritus', 'Burning sensation', 'Catch - Finding of sensory dimension of pain', 'Headache', 'Coughing', 'Sore to touch', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/just-tested-positive-754268
35,"['Hypertensive disease', 'Diabetes Mellitus', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/i-have-mental-disorder-after-covid-19-for-first-time-is-anyone-had-the-same-and-how-can-l-help-myself--755053
36,"['Constipation', 'Feeling Sick', 'Nausea']",https://patient.info//forums/discuss/feeling-sick-and-shakes-after-eating-755216
37,"['Anorexia', 'Ataxia Telangiectasia', 'Gastroesophageal reflux disease', 'Fish-Eye Disease', 'Pharyngitis', 'Pneumonia', 'Xerostomia', 'Lower respiratory tract infection', 'Heartburn', 'Diarrhea', 'Chest Pain', 'Tired', 'Abdominal Pain', 'Severe diarrhea', 'Burning sensation', 'Pain', 'Stomach ache', 'Nausea', 'Abdominal bloating', 'Sore Throat', 'Eructation', 'Sore to touch', 'Dyspnea', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/anyone-get-terrible-acid-reflux-after-having-covid--750660
38,"['Gastroesophageal reflux disease', 'Common Cold', 'Tired', 'Fatigue', 'Myalgia', 'Pain', 'feeling dizzy', 'Mastodynia', 'Nausea', 'Vertigo', 'feeling like vomiting', 'Dizziness', 'Hot flushes', 'Depressed - symptom', 'Night sweats', 'Chills', 'Dyspnea', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/finally-negative-symptoms-still-lingering--753713
39,"['Parkinsonian Disorders', 'Parkinson Disease', 'nan', 'nan']",https://patient.info//forums/discuss/parkinsonism-and-covid-19-754778
40,"['Migraine Disorders', 'Sinusitis', 'Prediabetes syndrome', 'Communicable Diseases', 'Gastroesophageal reflux disease', 'Pharyngitis', 'Fish-Eye Disease', 'Pneumonia', 'Conjunctivitis', 'Tonsillitis', 'Coronavirus Infections', 'Vitamin Deficiency', 'Autoimmune Diseases', 'Recurrent disease', 'Malnutrition', 'Disease', 'Seizures', 'Diarrhea', 'Exanthema', 'Fatigue', 'Burning sensation', 'Pain', 'Breathing abnormally deep', 'spells (neurological symptom)', 'Anosmia', 'Neck Pain', 'Nausea', 'Influenza-like symptoms', 'lump in throat', 'Earache', 'Arm Pain', 'Clouded consciousness', 'Chest Pain', 'out (of) breath', 'headache severe', 'Upset stomach', 'Back Pain', 'Tremor', 'Prickling sensation', 'Nasal congestion (finding)', 'Sore Throat', 'chest heaviness', 'skin color change', 'digestive problem', 'Signs and Symptoms', 'Glossalgia', 'Headache', 'Stinging Sensation', 'Skin symptom', 'Nose symptoms', 'Chest pressure', 'Exhaustion', 'Arthralgia', 'swollen glands in neck', 'Stomach ache', 'Has tingling sensation', 'Coughing', 'Pharyngeal dryness', 'Upper back pain', 'Ache', 'BODY ACHE', 'Myalgia', 'Rhinorrhea', 'Difficulty sleeping', 'Chest tightness', 'Dizziness', 'Weakness', 'Depressed - symptom', 'Frontal headache', 'Dyspnea', 'Sore to touch', 'Chills', 'Hoarseness', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/covid-9-symptoms-for-9-weeks-737081
41,"['Diarrhea', 'Coughing', 'Sleeplessness', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/someone-please-help-me--754706
42,"['Prurigo', 'Exanthema', 'Pruritus', 'Muscle Cramp', 'nan', 'nan']",https://patient.info//forums/discuss/covid-19-rash-4-weeks-later-754432
43,"['Cerebrovascular accident', 'Urinary tract infection', 'nan', 'nan']",https://patient.info//forums/discuss/please-look-i-believe-my-mom-is-a-long-hauler-any-advice-or-comments-appreciated-754666
44,"['Severe Acute Respiratory Syndrome', 'Clouded consciousness']",https://patient.info//forums/discuss/test-postive-754634
45,"['Pneumonia', 'Tired', 'taste sweet', 'Weakness', 'nan']",https://patient.info//forums/discuss/covid-anosmia-no-smell-or-taste--752925
46,"['Communicable Diseases', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/positive-pcr-test-v-negative-lft-test-754269
47,"['Stomach ache', 'Exanthema', 'Pins and needles', 'Headache', 'Coughing', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/dexamethasone-side-effects-754446
48,"['Morning headache', 'Headache']",https://patient.info//forums/discuss/covid-headaches-754325
49,"['BODY ACHE', 'Fatigue', 'Pain', 'Dyspnea', 'Vascular Diseases', 'Lung Diseases, Obstructive', 'BODY PAIN', 'Fatigue', 'Pain', 'Dyspnea', 'nan']",https://patient.info//forums/discuss/symptoms-after-9-days--754094
50,"['Communicable Diseases', 'Anosmia', 'Coughing', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/contact-and-intimacy-after-covid-754170
51,"['Infectious disease of lung', ""Little's Disease"", 'Lung Diseases, Obstructive', 'Coughing', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/covid-fever-for-13-straight-days--754155
52,"['Subacute thyroiditis', 'Deep Vein Thrombosis', 'Lung Diseases, Obstructive', 'Exhaustion', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/medical-industry-covid-753918
53,"['Gonorrhea', 'Geroderma osteodysplastica', 'Hamman-Rich syndrome', 'Hepatorenal Syndrome', 'nan', 'nan']",https://patient.info//forums/discuss/brother-iterminal-i-ll-with-cancer-can-i-visit-in-lockdown-s-753765
54,"['Gastroesophageal reflux disease', 'Nausea', 'Abdominal bloating', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/gastroenteritis-753678
55,"['cold symptoms', 'Lung Diseases, Obstructive', 'Coughing', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/overwhelming-anxiety-from-covid-news-articles-753768
56,"['Rib pain', 'Dyspnea', 'nan']",https://patient.info//forums/discuss/long-covid-rib-and-shoulder-pain-does-anyone-have-this-symptom-thanks-753777
57,"['Malignant hyperpyrexia due to anesthesia', 'Nausea', 'Asthenia']",https://patient.info//forums/discuss/should-my-mother-do-second-vaccine--753659
58,"['Algoneurodystrophy', 'Exanthema', 'Dyssomnias', 'Lung Diseases, Obstructive', 'Hypotrichosis simplex', 'Acute gastroenteritis', 'Nausea', 'Pruritus', 'nan', 'nan']",https://patient.info//forums/discuss/covid-still-hanging-on--753740
59,"['Dandy-Walker Syndrome', 'BODY PAIN', 'out (of) breath', 'Dizziness', 'Headache', 'Asthenia']",https://patient.info//forums/discuss/12-weeks-out-and-i-m-dizzy-and-help--753702
60,"['Gonorrhea', 'Geroderma osteodysplastica', ""Little's Disease"", 'Coronavirus Infections', 'Muscular fasciculation', 'Muscle twitch', 'nan', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/muscle-twitching-after-covid--753669
61,"['Gonorrhea', 'Geroderma osteodysplastica', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/should-i-isolate--753612
62,"['Gonorrhea', 'Geroderma osteodysplastica', 'Punctate inner choroidopathy', 'Hay fever', 'Pharyngitis', 'Exanthema', 'Skin Diseases, Infectious', 'Dermatitis', 'Rhinorrhea', 'Nausea', 'Sore mouth', 'Sore Throat', 'Pruritus', 'red blotches', 'Coughing', 'Pain', 'Nervousness', 'Burning feet', 'Erythema', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/red-skin-marks-752844
63,"['Multi-infarct dementia', 'Gonorrhea', 'Geroderma osteodysplastica', 'Hypertensive disease', 'Amyotrophic Lateral Sclerosis, Sporadic', 'POPLITEAL PTERYGIUM SYNDROME, LETHAL TYPE', 'CONOTRUNCAL ANOMALY FACE SYNDROME', 'Disease', 'Chest Pain', 'Ache', 'Chest tightness', 'Pain in left shoulder', 'Pain', 'Arm Pain', 'Dyspnea', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/chest-pain-for-10-days-751407
64,"['Gonorrhea', 'Geroderma osteodysplastica', ""Little's Disease"", 'Carpal Tunnel Syndrome', 'BODY PAIN', 'Slow respiration', 'Pain', 'Breathing abnormally deep', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/38-with-covid-i-m-scared-to-death-751864
65,"[""Little's Disease"", 'Diarrhea', 'Vomiting', 'BODY PAIN', 'Posterior rhinorrhea', 'Fatigue', 'Burning sensation', 'Headache', 'Throat irritation', 'Pain', 'Nasal congestion (finding)', 'Nausea', 'Has tingling sensation', 'Coughing', 'nan', 'nan']",https://patient.info//forums/discuss/did-anyone-experience-these-symptoms-while-infected--753425
66,"['Testicular regression syndrome', 'nan']",https://patient.info//forums/discuss/covid-advice-work-related-help-please-753593
67,"['Gonorrhea', 'Geroderma osteodysplastica', 'Lung Diseases, Obstructive', 'nan', 'nan']",https://patient.info//forums/discuss/covid-please-help-753502
68,"['Gonorrhea', 'Geroderma osteodysplastica', 'Common Cold', 'Influenza', 'SHORT STATURE, IDIOPATHIC, X-LINKED', 'Acute gastroenteritis', 'Disease', 'Anosmia', 'Signs and Symptoms', 'Coughing', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/covid-752791
69,"['Gonorrhea', 'Geroderma osteodysplastica', 'Acute gastroenteritis', 'Coughing', 'Dyspnea']",https://patient.info//forums/discuss/covid-19-day-12-and-still-having-a-fever-753343
70,"['nan', 'nan']",https://patient.info//forums/discuss/covid-vaccination-and-alcohol-753382
71,"['Gonorrhea', 'Geroderma osteodysplastica', 'PREMATURE CHROMATID SEPARATION TRAIT', 'Gray Platelet Syndrome', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/preventing-covid-19-separation-not-just-isolation-753341
72,"['Testicular regression syndrome', 'nan']",https://patient.info//forums/discuss/lack-of-information-from-the-government-and-the-nhs-753261
73,"['Rheumatoid Arthritis', 'Duane Retraction Syndrome', 'Pneumonia', 'Bronchitis', 'Diabetic Retinopathy', 'Acute gastroenteritis', 'Gray Platelet Syndrome', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/wrong-covid-vaccination-group-753250
74,"['Nail-Patella Syndrome', ""Little's Disease"", 'Carpal Tunnel Syndrome', 'Coronavirus Infections', 'Sympathetically independent pain', 'Nervousness', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/no-taste-or-smell-update--753132
75,"['Asthma', 'Coronavirus Infections', 'Multiple Sclerosis', 'Catch - Finding of sensory dimension of pain', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/a-symptomatic-people-753107
76,"['Arthralgia', 'Asthenia', 'nan']",https://patient.info//forums/discuss/covid-and-strange-feeling-in-arms-and-legs--752983
77,"['Gonorrhea', 'Geroderma osteodysplastica', 'Coronavirus Infections', 'nan', 'nan']",https://patient.info//forums/discuss/contact-worry-752963
78,"['Actual Inability To Taste', 'Productive cough', 'BODY PAIN', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/covid-19-752939
79,"['PREMATURE CHROMATID SEPARATION TRAIT', 'Anosmia', 'nan', 'nan']",https://patient.info//forums/discuss/covid-experience-loss-of-smell-752930
80,"['Lung Diseases, Obstructive', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/covid-guilt-at-passing-it-on--752614
81,"['Gonorrhea', 'Geroderma osteodysplastica', 'Coughing', 'nan', 'nan']",https://patient.info//forums/discuss/does-this-sound-like-covid-752762
82,"['Gonorrhea', 'Geroderma osteodysplastica', ""Little's Disease"", 'Common Cold', 'Papillon-Lefevre Disease', 'Coronavirus Infections', 'Disease', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/please-i-need-reassurance-or-anything-752738
83,"['Lung Diseases, Obstructive', 'Nausea', 'Coughing', 'Mastodynia', 'Sore to touch', 'nan']",https://patient.info//forums/discuss/i-tested-positive-for-covid-please-help-752696
84,"['Hypertensive disease', 'Diabetes Mellitus', 'Coffin-Siris syndrome', 'Disease', 'nan']",https://patient.info//forums/discuss/taking-a-leave-of-absence-from-work-causes-firing-to-happen--752679
85,"['Gonorrhea', 'Geroderma osteodysplastica', 'Sexually Transmitted Diseases', 'Premenstrual syndrome', 'Lung Diseases, Obstructive', 'Acute gastroenteritis', 'Seizures', 'Mass of body region', 'Coughing', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/help-could-i-have-been-exposed-to-covid--752659
86,"['Hypotrichosis simplex', 'nan', 'nan']",https://patient.info//forums/discuss/loss-of-smell-and-taste-752616
87,"['Gonorrhea', 'Geroderma osteodysplastica', 'Lung Diseases, Obstructive', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/covid-self-isolating-employer-being-awkward-750338
88,"['Gonorrhea', 'Geroderma osteodysplastica', 'Testicular regression syndrome', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/should-i-isolate--752535
89,"['Gonorrhea', 'Geroderma osteodysplastica', 'nan']",https://patient.info//forums/discuss/support-bubbl-752028
90,"['Gonorrhea', 'Geroderma osteodysplastica', 'Sexually Transmitted Diseases', ""Little's Disease"", 'SHORT STATURE, IDIOPATHIC, X-LINKED', 'Lung Diseases, Obstructive', 'Anosmia', 'Dry cough', 'Chest pressure', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/chest-pressure-752388
91,"['Hypertensive disease', 'Gonorrhea', 'Geroderma osteodysplastica', 'Diabetes Mellitus', 'Chronic Obstructive Airway Disease', 'Congestive heart failure', 'Disease', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/is-visiting-family-for-christmas-risky--751561
92,"['slight fever', 'nan']",https://patient.info//forums/discuss/day-9-with-covid-and-i-can-not-stop-sweating--751791
93,"['Gonorrhea', 'Geroderma osteodysplastica', 'Common Cold', 'Reflex Sympathetic Dystrophy', 'Motion Sickness', 'Rhinorrhea', 'Throat symptom', 'Coughing', 'Nose symptoms', 'nan', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/-could-these-symptoms-be-long-covid-752083
94,"['Migraine Disorders', 'Gonorrhea', 'Geroderma osteodysplastica', 'Influenza', 'Coughing', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/recently-diagnosed--752061
95,"['Gonorrhea', 'Geroderma osteodysplastica', 'Sexually Transmitted Diseases', 'Pharyngitis', 'Influenza', 'PREMATURE CHROMATID SEPARATION TRAIT', 'Coronavirus Infections', 'Disease', 'Ache', 'BODY PAIN', 'Fatigue', 'Sore Throat', 'Pain of lymph node', 'Pain', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/maybe-a-weird-question-but-can-covid-have-std-like-symptoms--752059
96,"['Gonorrhea', 'Geroderma osteodysplastica', 'Pharyngitis', 'Nasal congestion (finding)', 'BODY PAIN', 'Signs and Symptoms', 'Fatigue', 'Pain in right hand', 'Sore Throat', 'Headache', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/mild-covid-19-symptoms-will-they-get-worse-i-m-on-day-5--751549
97,"[""Little's Disease"", 'Tonsillitis', 'Anosmia', 'Nasal congestion (finding)', 'Chest Pain', 'Upset stomach', 'Sore Throat', 'Dizziness', 'Headache', 'Chest pressure', 'Dyspnea', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/covid-symptoms-dragging-on-752041
98,"['Gonorrhea', 'Geroderma osteodysplastica', 'sick to stomach', 'nan', 'nan']",https://patient.info//forums/discuss/carl-vernon-youtube-channel-751839
99,"['Gonorrhea', 'Geroderma osteodysplastica', 'PROGRESSIVE ENCEPHALOMYELITIS WITH RIGIDITY', 'nan', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/covid-vaccine-and-immunity-751715
100,"['Eye Infections', 'Tired', 'Headache']",https://patient.info//forums/discuss/covid-19-symptoms-fever-751514
101,"['Lung Diseases, Obstructive', 'Diarrhea', 'Myalgia']",https://patient.info//forums/discuss/digestion-symptoms-751493
