PostNumber,SymptomName,PostLink
102,"['Gonorrhea', 'Geroderma osteodysplastica', 'Sinusitis', ""Little's Disease"", 'Reflex Sympathetic Dystrophy', 'Headache', 'Coughing', 'Pain', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/covid-19-prolonged-fever-735964
103,"['Gonorrhea', 'Geroderma osteodysplastica', 'Occipital Lobe Epilepsy', 'Sexually Transmitted Diseases', 'Pelvic Organ Prolapse', 'Chronic Obstructive Airway Disease', 'Reflex Sympathetic Dystrophy', 'Myasthenia Gravis, Ocular', 'Nasal congestion (finding)', 'BODY PAIN', 'Pain, Postoperative', 'Fatigue', 'Burning sensation', 'Headache', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/still-got-a-fever-i-do--740453
104,"['Alcoholic ketoacidosis', 'Sinusitis', 'Gonorrhea', 'Geroderma osteodysplastica', 'Multi-infarct dementia', ""Little's Disease"", 'Hypercholesterolemia', 'Dental caries', 'Temporal headache', 'Coughing', 'Asthenia', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/fever-in-mild-cases-of-covid-19-741805
105,"['Gonorrhea', 'Geroderma osteodysplastica', 'Sinusitis', 'Coffin-Siris syndrome', 'Reflex Sympathetic Dystrophy', 'Temporal headache', 'Burning sensation', 'Headache', 'Coughing', 'nan', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/covid-and-relentless-low-grade-fever-anyone--751466
106,"['Gonorrhea', 'Geroderma osteodysplastica', 'Idiopathic Multicentric Osteolyses', 'Pharyngitis', 'Common Cold', 'Reflex Sympathetic Dystrophy', 'Lung diseases', 'Seizures', 'Diarrhea', 'Ache', 'BODY PAIN', 'Headache Severe', 'Abdominal Pain', 'Severe diarrhea', 'Upset stomach', 'Fatigue', 'Headache', 'Muscle Cramp', 'Pain', 'Stomach ache', 'gastrointestinal gas', 'Diarrhea, watery', 'Nausea', 'Hunger', 'Abdominal bloating', 'Sore Throat', 'Dizziness', 'Digestive symptom', 'Coughing', 'Chills', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/gastric-symptoms-covid-19-741189
107,"['Lung Diseases, Obstructive', 'Acute gastroenteritis', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/work-travel-question-can-you-have-the-pfizer-moderna-vaccine-if-you-ve-had-the-astrazeneca-before--751342
108,"['nan', 'nan', 'nan']",https://patient.info//forums/discuss/covid-app-alert-751311
109,"['Lung Diseases, Obstructive', 'Actual Inability To Taste', 'Chest Pain', 'Chest tightness', 'Myalgia', 'Headache', 'Coughing', 'Back Pain', 'Exhaustion', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/wk-3-racing-heart-and-pins-and-needles--750502
110,"['Gonorrhea', 'Geroderma osteodysplastica', 'Infectious disease of lung', ""Little's Disease"", 'Fish-Eye Disease', 'Common Cold', 'Testicular regression syndrome', 'Chest Pain', 'Ache', 'Tired', 'Spasm', 'Fatigue', 'Left sided chest pain', 'Headache', 'Back Pain', 'Pain', 'Rhinorrhea', 'Actual Inability To Taste', 'Neck Pain', 'Dry cough', 'Coughing', 'Asthenia', 'Arm Pain', 'Sore to touch', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/positive-covid-test-scared-749831
111,"['Gonorrhea', 'Geroderma osteodysplastica', 'Allergic disposition', 'WILSON-TURNER X-LINKED MENTAL RETARDATION SYNDROME', 'Subacute thyroiditis', ""Little's Disease"", 'Van der Woude syndrome', 'Asthma', 'Coronavirus Infections', 'Seizures', 'Abnormal heart beat', 'Chest Pain', 'Ache', 'Tired', 'Muscular stiffness', 'Weight symptom (finding)', 'Fatigue', 'Headache', 'Syncope', 'Pain', 'Mastodynia', 'Breathing abnormally deep', 'Other symptoms', 'Constipation', 'Chest tightness', 'Coughing', 'Asthenia', 'Arm Pain', 'Dyspnea', 'Sore to touch', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/coronavirus-week-9-are-there-people-like-me--750249
112,"['Papillon-Lefevre Disease', 'Coughing', 'Dyspnea', 'nan']",https://patient.info//forums/discuss/will-donating-plasma-put-me-at-risk-of-getting-covid-19-again--750761
113,"['Hypertensive disease', 'Gonorrhea', 'Geroderma osteodysplastica', 'Diabetes Mellitus', 'Lung Diseases, Obstructive', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/my-mom-and-coronavirus-750634
114,"['Nausea', 'Myalgia', 'Back Pain', 'nan']",https://patient.info//forums/discuss/covid-after-symptoms-750554
115,"['Alpha trait thalassemia', 'Lung Diseases, Obstructive']",https://patient.info//forums/discuss/how-can-i-get-in-line-with-those-who-will-get-the-covid-vaccine-first--750547
116,"['Gonorrhea', 'Geroderma osteodysplastica', 'Acute gastroenteritis', 'Disease', 'Gray Platelet Syndrome', 'nan']",https://patient.info//forums/discuss/covid-3rd-day-750271
117,"['Gonorrhea', 'Geroderma osteodysplastica', 'flu symptoms', 'Common Cold', 'Reflex Sympathetic Dystrophy', 'Actual Inability To Taste', 'Anosmia', 'Ache', 'Nasal congestion (finding)', 'Loose stool', 'Headache', 'Coughing', 'Pain', 'Asthenia', 'Dyspnea', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/covid-19-day-9-747856
118,"['Pneumonia', 'nan']",https://patient.info//forums/discuss/how-long-oxygen-at-home-after-hospitalization-what-is-pulse-ox--750400
119,"['Neonatal hemochromatosis', 'cold symptoms', 'PROGRESSIVE ENCEPHALOMYELITIS WITH RIGIDITY', 'Coughing', 'nan']",https://patient.info//forums/discuss/day-9-so-far-so-good-750296
120,"['Gonorrhea', 'Geroderma osteodysplastica', 'Pharyngitis', ""Little's Disease"", 'Sore Throat', 'Asthenia', 'Chest discomfort', 'Dyspnea', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/discomfort-in-chest-after-using-pillow-or-elevated-support-around-the-neck-1-month-since-symptoms--750308
121,"['Reflex Sympathetic Dystrophy', 'SHORT STATURE, ONYCHODYSPLASIA, FACIAL DYSMORPHISM, AND HYPOTRICHOSIS SYNDROME', 'Chest Pain', 'Nausea', 'Fatigue', 'Has tingling sensation', 'Dry cough', 'Headache', 'Night sweats', 'Clouded consciousness', 'Dyspnea', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/strange-covid-insomnia-749816
122,"['Confluent and Reticulate Papillomatosis', 'Wolf-Hirschhorn Syndrome', 'Fibrillary glomerulonephritis', 'Headache', 'Coughing', 'Asthenia', 'nan', 'nan']",https://patient.info//forums/discuss/wildly-different-recommendations-for-covid-750193
123,"['nan', 'nan', 'nan']",https://patient.info//forums/discuss/recent-covid-and-need-to-travel-in-a-few-weeks-750151
124,"['Tired', 'nan']",https://patient.info//forums/discuss/covid-negative-and-i-m-back-at-the-gym-but-i-went-too-hard-anyone-else-did-the-same--750126
125,"['heart inflammation', 'Chills', 'nan', 'nan']",https://patient.info//forums/discuss/positive-covid-and-worried-about-heart-damage-750106
126,"['Gonorrhea', 'Geroderma osteodysplastica', 'Gasping for breath', 'Nausea', 'Dyspnea', 'nan', 'nan']",https://patient.info//forums/discuss/sleep-issues-with-covid-19-749676
127,"['Pharyngitis', 'Catch - Finding of sensory dimension of pain', 'Sore Throat', 'Burning sensation', 'feeling dizzy', 'nan', 'nan']",https://patient.info//forums/discuss/coronervirus-749970
128,"['flu symptoms', 'furuncle', 'Pharyngitis', 'Common Cold', 'Anosmia', 'Chest tightness', 'Fatigue', 'Dizziness', 'Vertigo', 'Sore Throat', 'Headache', 'Coughing', 'Pain', 'Lightheadedness', 'Sleeplessness', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/3-months-on-dizziness-headaches-and-clogged-up-742156
129,"['Coronavirus Infections', 'Seizures', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/face-masks-don-t-fit--744380
130,"['Pain', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/covid-chest-flutters-and-anxiety--749854
131,"['Gonorrhea', 'Geroderma osteodysplastica', 'nan', 'nan']",https://patient.info//forums/discuss/exposure-to-covid-19-isolating-at-home-749944
132,"['nan', 'nan', 'nan']",https://patient.info//forums/discuss/negative-covid-pcr-twice-but-severe-symptoms-and-bad-blood-test-749865
133,"['Common Cold', 'Anosmia', 'taste sweet', 'Headache', 'Muscle Cramp', 'Pain', 'Abdominal discomfort', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/covid-symptoms-or-anxiety--747277
134,"['Pharyngitis', 'Common Cold', 'Stomach ache', 'Ache', 'BODY PAIN', 'Sore Throat', 'Myalgia', 'Headache', 'Coughing', 'Asthenia', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/do-i-have-covid-or-did-i-muscle-ache-and-pain--749155
135,"['Gonorrhea', 'Geroderma osteodysplastica', 'Pharyngitis', 'Hypotrichosis simplex', 'Tired', 'Sore Throat', 'Coughing', 'Dyspnea', 'nan', 'nan']",https://patient.info//forums/discuss/covid-and-shortness-of-breath-749797
136,"['Robinow syndrome, autosomal recessive', 'Common Cold', 'Dizziness', 'Breath symptom', 'Asthenia', 'Hoarseness', 'Dyspnea']",https://patient.info//forums/discuss/covid-shortness-of-breath-and-dropping-oxygen-level--749789
137,"['Gonorrhea', 'Geroderma osteodysplastica', 'Communicable Diseases', 'Confluent and Reticulate Papillomatosis', 'Classical Lissencephaly', 'SHORT STATURE, IDIOPATHIC, X-LINKED', 'Papillon-Lefevre Disease', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/my-father-has-covid-lung-infection-he-s-been-in-the-hospital-for-more-than-17-days-now--749772
138,"['Acute lower respiratory tract infection', 'Pneumonia', 'Common Cold', 'Lung Diseases, Obstructive', 'Bronchitis', 'Disease', 'Tired', 'Dizziness', 'Myalgia', 'Coughing', 'nan', 'nan']",https://patient.info//forums/discuss/chest-issues-since-pneumonia-in-2019-and-worsen-by-coronavirus-749640
139,"['Gonorrhea', 'Geroderma osteodysplastica', 'Gastroesophageal reflux disease', 'Pharyngitis', 'Sore Throat', 'Coughing', 'Throat irritation', 'Sore to touch', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/mild-sore-throat--749342
140,"['Gastroesophageal reflux disease', 'Actual Inability To Taste', 'Dizziness', 'Vertigo', 'spells (neurological symptom)', 'nan']",https://patient.info//forums/discuss/covid-and-vertigo-749062
141,"['Infantile Neuroaxonal Dystrophy', ""Little's Disease"", 'Lung Diseases, Obstructive', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/son-and-family-visit-from-ireland-749131
142,"['flu symptoms', 'Influenza', 'Coronavirus Infections', 'Influenza-like symptoms', 'Malaise', 'Headache', 'Chills', 'nan', 'nan']",https://patient.info//forums/discuss/covid-19-or-flu--747210
143,"['Gonorrhea', 'Geroderma osteodysplastica', 'Smallpox', ""Little's Disease"", 'Influenza', 'SHORT STATURE, IDIOPATHIC, X-LINKED', 'Lung Diseases, Obstructive', 'Nephritis, Interstitial', 'Age related macular degeneration', 'Aleutian Mink Disease', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/avoiding-those-who-do-not-seem-to-understand--748392
144,"['Gonorrhea', 'Geroderma osteodysplastica', 'Cancer-Associated Retinopathy', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/covid-transmission-question-748881
145,"['Obesity', 'Sexually Transmitted Diseases', 'Adult Fanconi syndrome', ""Little's Disease"", 'Pneumonia', 'SHORT STATURE, IDIOPATHIC, X-LINKED', 'Hypotrichosis simplex', 'Lung diseases', 'Coronavirus Infections', 'Acute gastroenteritis', 'Gray Platelet Syndrome', 'HEART PROBLEM', 'Asthenia', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/blood-types-and-coronavirus-739077
146,"['Multi-infarct dementia', 'Gonorrhea', 'Geroderma osteodysplastica', 'Anosmia', 'Neurologic Symptoms', 'taste sweet', 'Retching', 'taste salty', 'Sleeplessness', 'nan', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/recovered-from-covid-but-still-experiencing-loss-of-smell-739358
147,"['Gonorrhea', 'Geroderma osteodysplastica', 'Hamman-Rich syndrome', 'Pneumonia', 'Hepatorenal Syndrome', 'Syndrome', 'MUNGAN SYNDROME', 'Upper Extremity Paresis', 'Stomach ache', 'clogged ear', 'Dizziness', 'Burning sensation', 'Abdominal bloating', 'Has tingling sensation', 'Lower Extremity Paresis', 'Asthenia', 'Pain', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/several-weeks-past-covid-and-new-tingling-in-hands-and-feet-horrible-muscle-weakness--746817
148,"['Syndrome', 'Paresthesia of hand', 'Fatigue', 'panic symptoms', 'Pain', 'Paresis', 'Has tingling sensation', 'Dry cough', 'Coughing', 'Hot flushes', 'HEAD PRESSURE SENSATION', 'Clouded consciousness', 'Chills', 'Dyspnea', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/covid-19-neurological-symptoms-747941
149,"['Gonorrhea', 'Geroderma osteodysplastica', 'Exanthema', 'Dry cough', 'nan']",https://patient.info//forums/discuss/redspots-747622
150,"['Gonorrhea', 'Geroderma osteodysplastica', 'Common Cold', 'hand rash', 'Hypotrichosis simplex', 'Cat allergy (disorder)', 'Anosmia', 'Nasal congestion (finding)', 'Fatigue', 'Burning sensation', 'Has tingling sensation', 'Dry cough', 'Headache', 'Coughing', 'Lethargy', 'Breathing abnormally deep', 'Exhaustion', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/burning-nose-sensation--744101
151,"['Gonorrhea', 'Geroderma osteodysplastica', 'Disease', 'Anosmia', 'Pelvic Pain', 'taste sweet', 'Retching', 'Fatigue', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/loss-of-smell-and-taste-747172
152,"['nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/nhs-covid-19-app-747411
153,"['Rhinorrhea', 'Malaise', 'Fatigue', 'Headache', 'Coughing', 'nan', 'nan']",https://patient.info//forums/discuss/nose-discomfort-and-loss-of-smell-and-taste-747215
154,"['Gonorrhea', 'Geroderma osteodysplastica', 'Influenza', 'Acute gastroenteritis', 'Actual Inability To Taste', 'Chest Pain', 'Ache', 'taste salty', 'Headache', 'Dry cough', 'Pain', 'Exhaustion', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/covid-19-loss-of-smell-and-taste-734276
155,"['Obesity', 'Diabetes', 'STUVE-WIEDEMANN SYNDROME', 'Dementia, familial Danish', 'Anosmia', 'Stomach ache', 'Actual Inability To Taste', 'Tired', 'out (of) breath', 'taste sweet', 'Fatigue', 'Asthenia', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/covid-19-taste-and-smell-issues-735714
156,"['Gonorrhea', 'Geroderma osteodysplastica', 'Temporohyoid osteoarthropathy', 'Anorexia', 'Pharyngitis', 'Reflex Sympathetic Dystrophy', 'Ache', 'Visual disturbance', 'Tired', 'Paresthesia of hand', 'Fatigue', 'Headache', 'Other symptoms', 'swollen glands in neck', 'Anosmia', 'Actual Inability To Taste', 'Nasal congestion (finding)', 'Neurologic Symptoms', 'Sore Throat', 'Dizziness', 'Has tingling sensation', 'Morning headache', 'Blurred vision', 'Frontal headache', 'Dyspnea', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/covid19-neurological-symptoms-738606
157,"['Gonorrhea', 'Geroderma osteodysplastica', 'Pneumonia', 'SHORT STATURE, IDIOPATHIC, X-LINKED', 'Asthma', 'Tired', 'Dyspnea', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/6-months-in-746424
158,"['Sinusitis', 'Common Cold', 'SHORT STATURE, IDIOPATHIC, X-LINKED', 'Tired', 'Coughing', 'Flushing', 'Asthenia', 'Chills', 'Dyspnea', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/could-i-have-covid--746827
159,"['Allergic disposition', 'Common Cold', 'Allergy to eggs', 'Coronavirus Infections', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/i-had-covid-few-months-ago-and-get-recovered-now-i-am-getting-sick-a-lot-what-should-i-do--746457
160,"['Severe pain', 'nan']",https://patient.info//forums/discuss/severe-pain-medications-746546
161,"['Communicable Diseases', ""Little's Disease"", 'Common Cold', 'Coughing', 'nan']",https://patient.info//forums/discuss/i-was-sick-3-weeks-ago-of-covid-i-got-cured-but-i-still-cough-even-after-all-this-time-746394
162,"['Communicable Diseases', 'Influenza', 'Syndrome', 'Coronavirus Infections', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/covid-19-and-guillain-barr%C3%A9-syndrome-745627
163,"['Coughing', 'nan']",https://patient.info//forums/discuss/covid-745001
164,"['Pharyngitis', 'Sore Throat', 'Asthenia', 'nan']",https://patient.info//forums/discuss/tests-744803
165,"['Gonorrhea', 'Geroderma osteodysplastica', 'nan', 'nan']",https://patient.info//forums/discuss/covid19-and-eye-pain-744689
166,"['Myalgia', 'Coughing', 'Pain', 'Nervousness', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/can-covid-affect-the-muscles--742542
167,"['Communicable Diseases', 'Tropical Spastic Paraparesis', 'Hypotrichosis simplex', 'Kidney Diseases', 'Numbness', 'Renal pain', 'Fatigue', 'Xerostomia', 'Coughing', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/post-covid-problems-744667
168,"['Sinusitis', 'Pharyngitis', 'Asthma', 'Anosmia', 'Nasal congestion (finding)', 'Sinus pain', 'Sore Throat', 'nan']",https://patient.info//forums/discuss/in-a-conundrum--743923
169,"['Oculocerebrocutaneous syndrome', 'Acute gastroenteritis', 'Anosmia', 'Actual Inability To Taste', 'Nasal congestion (finding)', 'Chest Pain', 'Hand joint pain', 'Loose stool', 'Fatigue', 'Back symptoms/complaints', 'Coughing', 'Dyspnea', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/questions-for-those-diagnosed-with-covid19-covid-world-is-a-lonely-world-let-s-talk-about-it--742193
170,"['Gonorrhea', 'Geroderma osteodysplastica', 'Subacute thyroiditis', 'Coughing', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/in-aberdeen-on-saturday-scared-i-have-covid-19-743796
171,"['Gonorrhea', 'Geroderma osteodysplastica', 'nan', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/new-here-hello--740887
172,"['Gonorrhea', 'Geroderma osteodysplastica', 'Ankylosing spondylitis', 'Atherosclerosis', 'AORTIC VALVE DISEASE 2', 'Abdominal Pain', 'Headache', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/does-corona-give-u-you-health-problems-you-never-had-or-health-probe-that-was-jus-layn-in-your-body--743633
173,"['nan', 'nan']",https://patient.info//forums/discuss/is-it-really-possible-to-test-positive-twice--743378
174,"['Duane Retraction Syndrome', 'Pneumonia', 'Influenza', 'Chronic Obstructive Airway Disease', 'Gonorrhea', 'Geroderma osteodysplastica', 'Anorexia', ""Little's Disease"", 'Lung Problem', 'Pneumonia, Viral', 'Asthma', 'Cystic Fibrosis', 'Diabetic Retinopathy', 'Disease', 'Lower respiratory tract infection', 'Anosmia', 'persistent dry cough', 'Chest tightness', 'Headache', 'Coughing', 'Asthenia', 'Night sweats', 'Dyspnea', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/9-weeks-after-hospital-discharge-still-coughing-737883
175,"['Communicable Diseases', 'Duane Retraction Syndrome', 'Pharyngitis', 'Influenza', 'Reflex Epilepsy, Reading', 'Pulmonary congestion', 'STOMATOCYTOSIS I', 'Gonorrhea', 'Geroderma osteodysplastica', 'flu symptoms', 'Acute lower respiratory tract infection', ""Little's Disease"", 'Diabetic Retinopathy', 'Tired', 'Abdominal Pain', 'Nausea', 'Fatigue', 'Dizziness', 'Sore Throat', 'Headache', 'Coughing', 'Breathing abnormally deep', 'Dyspnea', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/now-in-my-8th-week-and-still-short-of-breath-please-help--738232
176,"['Coronavirus Infections', 'Chest tightness', 'Flare', 'Coughing', 'nan', 'nan']",https://patient.info//forums/discuss/4-week-recovered-from-coronavirus-but-symptoms-flare-up-when-i-exercise-is-this-normal--742982
177,"['Gonorrhea', 'Geroderma osteodysplastica', 'Lung Diseases, Obstructive', 'Coronavirus Infections', 'Acute gastroenteritis']",https://patient.info//forums/discuss/why-is-the-f-g-coronavirus-f-g-die--742863
178,"[""Little's Disease"", 'PREMATURE CHROMATID SEPARATION TRAIT', 'Flare', 'Muscle Cramp', 'Pain', 'Dyspnea', 'nan', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/difficulty-breathing-after-recent-physician-visit-741922
179,"['Pharyngitis', 'Recurrent disease', 'Coronavirus Infections', 'neck tightness', 'Sore Throat', 'Headache', 'Chills', 'nan', 'nan']",https://patient.info//forums/discuss/pain-in-lymph-nodes-after-initial-symptoms-improve--742674
180,"['Sexually Transmitted Diseases', 'Vitamin D Deficiency', 'Asthenia', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/post-covid-symptom-742564
181,"['Hay fever', 'Gray Platelet Syndrome', 'Nasal congestion (finding)', 'Sore Throat', 'nan']",https://patient.info//forums/discuss/long-haul-coronvirus-healing-stories-742601
182,"['Gastritis', 'Coronavirus Infections', 'Stomach ache', 'Vomiting', 'Dyspepsia', 'Malaise', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/corona-symtom--741424
183,"['Gonorrhea', 'Geroderma osteodysplastica', 'Diabetes Mellitus, Non-Insulin-Dependent', 'Pharyngitis', 'Pneumonia', 'Respiratory Distress Syndrome, Adult', 'Reflex Sympathetic Dystrophy', 'Strangles', 'Basilar-Type Migraine', 'Coronavirus Infections', 'Lower respiratory tract infection', 'Temporal headache', 'BODY PAIN', 'Headache Severe', 'Fatigue', 'Pain of lymph node', 'Headache', 'Pain', 'spells (neurological symptom)', 'Chest tightness', 'Sore Throat', 'chest heaviness', 'Coughing', 'Dyspnea', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/anyone-else-13-weeks-still-with-symptoms-or-symptoms-getting-better-741198
184,"['Gonorrhea', 'Geroderma osteodysplastica', 'Cerebrovascular accident', 'Myocardial Infarction', 'Lung Diseases, Obstructive', 'Conjunctivitis', 'Cancer-Associated Retinopathy', 'Wolf-Hirschhorn Syndrome', 'Deglutition Disorders', 'Laryngismus paralyticus', 'Recurrent disease', 'Disease', 'Seizures', 'Feeling strange', 'room spinning', 'Suffocated', 'Upset stomach', 'Equilibration disorder', 'feeling dizzy', 'Lightheadedness', 'Nervousness', 'Chest pressure', 'Exhaustion', 'Neurologic Symptoms', 'Buzzing in ear', 'Nausea', 'Vertigo', 'Dizziness', 'Pruritus', 'Coughing', 'Clouded consciousness', 'Dyspnea', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/covid-tinnitus-and-vertigo-736891
185,"['SHORT STATURE, ONYCHODYSPLASIA, FACIAL DYSMORPHISM, AND HYPOTRICHOSIS SYNDROME', 'Itching of ear', 'Sore skin', 'Pruritus', 'nan']",https://patient.info//forums/discuss/soft-palette-and-ear-pain-742130
186,"['Pneumonia', 'Respiratory Distress Syndrome, Adult', 'Headache Severe', 'Chest tightness', 'Fatigue', 'chest heaviness', 'Coughing', 'spells (neurological symptom)', 'Dyspnea', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/covid-symptoms-for-8-weeks-when-does-it-end--741705
187,"['Chronic Fatigue Syndrome', 'Communicable Diseases', 'SHORT STATURE, IDIOPATHIC, X-LINKED', 'Chronic Obstructive Airway Disease', 'Gonorrhea', 'Geroderma osteodysplastica', 'Sexually Transmitted Diseases', 'Malignant hyperpyrexia due to anesthesia', ""Little's Disease"", 'Lung Problem', 'Lung Diseases, Obstructive', 'STUVE-WIEDEMANN SYNDROME', 'Struck', 'Disease', 'Chest Pain', 'Nausea', 'Dizziness', 'Headache', 'Coughing', 'CHEST PAIN, SHARP', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/household-hit-by-covid-march-april-anxiety-over-recurring-symptoms--741089
188,"['Multi-infarct dementia', 'Gonorrhea', 'Geroderma osteodysplastica', 'POPLITEAL PTERYGIUM SYNDROME, LETHAL TYPE', 'Isaacs syndrome', 'Headache Severe', 'Nausea', 'Fatigue', 'Headache', 'Pain', 'Asthenia', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/increased-bp-740230
